Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
10-03-2004,18:00:00,2.6,1360,150,11.88172349,1045.5,1056.25,113,1692,1267.5,13.5999999,48.87500095,0.757753825
11-03-2004,05:00:00,0.7,1066,8,1.133430571,512,1918,28,1182,421.75,10.99999976,56.17500019,0.7365596
11-03-2004,17:00:00,2.9,1383,150,11.15158122,1019.75,1008,135,1718.75,1104,9.775000095,67.62499809,0.818501207
12-03-2004,08:00:00,4.4,1587,202,17.8655867,1235.5,896.5,141,1900.25,1400.25,7.325000048,63.14999962,0.649933139
12-03-2004,18:00:00,3.9,1509.5,233,19.29097489,1276.5,812.25,149,1909.75,1409.5,15.14999986,39.55000019,0.676626508
13-03-2004,04:00:00,-200,1147,56,6.199041963,821,1132.25,83,1411.75,991.5,7,71.07500076,0.715778469
13-03-2004,14:00:00,2,1206.5,112,8.618412577,924.25,1087.75,102,1488.25,849.75,18.02499962,34.80000019,0.712673874
14-03-2004,00:00:00,2.9,1533.5,93,10.96345796,1013,888.5,129,1610.75,1534.75,13.94999981,53.60000038,0.84977172
14-03-2004,10:00:00,2.2,1331.5,129,8.587110475,923,951.75,98,1613.75,1225,14.5250001,53.07499981,0.872781622
14-03-2004,20:00:00,5.9,1898,341,23.14212581,1381.25,680.5,173,2102.75,1904.75,17.625,46.09999943,0.920953536
15-03-2004,06:00:00,1.4,1156.75,51,6.38532009,829.5,1029.5,80,1584,1083,11.375,70.52499962,0.947516224
15-03-2004,16:00:00,2.3,1317.75,141,11.52482024,1033,949.75,99,1675,1068,24.375,29.39999962,0.884761712
16-03-2004,02:00:00,0.8,968,29,2.810688037,640,1319.5,61,1385.75,866.75,14.75,59.22499943,0.987908111
16-03-2004,17:00:00,2.9,1388.75,199,15.7831831,1173,898.25,133,1739,1363.25,27.9749999,19.10000038,0.709825085
17-03-2004,04:00:00,-200,882.75,17,1.898934591,576.5,1396,60,1303.25,808.25,12.65000033,57.90000057,0.844660353
17-03-2004,18:00:00,5,1556.75,386,26.95102501,1477.75,793,158,1980.5,1568.5,25.85000038,15.95000029,0.523664583
18-03-2004,04:00:00,-200,954,28,2.884931455,644.75,1260.25,78,1334,924.75,11.5999999,61.92499924,0.844196282
18-03-2004,16:00:00,2.8,1495.75,-200,16.83563434,1205,822,169,1766.5,1347.25,27.12500048,23.12499952,0.818014479
